quality;label_mid;label_high;text_full
1;prawo karne procesowe;prawo karne;co należy zrobić jeśli w sieci pojawią się opinie oczerniające lekarza
-1;prawo administracyjne materialne;prawo administracyjne;co należy zrobić jeśli w sieci pojawią się opinie oczerniające lekarza
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;prawo karne procesowe;prawo karne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co należy zrobić w przedstawionych okolicznościach
1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;co należy zrobić w przedstawionych okolicznościach czy klient powinien udostępnić żonie zmarłego pacjenta dokumentacje medyczną
1;prawo cywilne procesowe;prawo cywilne;co należy zrobić w sytuacji zgubienia karty zgonu przez rodzinę zmarłego
-1;weryfikacja dokumentu;odpowiedzi niestandardowe;co oznacza oświadczenie zawarte w   aktu notarialnego w nawiązaniu do sytuacji klienta
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co oznacza pismo które otrzymała klientka
1;weryfikacja dokumentu;odpowiedzi niestandardowe;co oznacza przebywanie w gotowości o którym mowa w punkcie trzecim załącznika nr  do pakietu nr  czy w świetle tego postanowienia klientka będzie mogła opuścić miejsce pracy gdy nie będzie miała pacjentów czy w świetle załącznika nr  klientka będzie obowiązana do uczestniczenia w operacji czy w świetle załącznika nr  klientka będzie obowiązana do uczestniczenia w transporcie medycznym jeśli udzielający zamówienia będzie miał taką potrzebę
-1;weryfikacja dokumentu;odpowiedzi niestandardowe;co oznacza wskazany przez klientkę fragment treści orzeczenia lekarskiego lekarza medycyny pracy czy w przypadku ponownego pojawienia się takiego samego zapisu pracodawca będzie mógł go interpretować analogicznie
1;prawo karne wykroczeniowe;prawo karne;co powinien w tej sytuacji zrobić klient czy i do kiedy należy się gdzieś zgłosić celem poinformowania o powrocie z zagranicy czy przy zgłoszeniu się na kwarantannę istnieje jakaś kara za opóźnienie takiego zgłoszenia i czy klient może ukryć datę rzeczywistego powrotu do kraju
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co powinien zrobić klient
1;covid;prawo medyczne;co powinien zrobić klient jeżeli zostanie skierowany do pracy przy zwalczaniu epidemii
1;covid;prawo medyczne;co powinien zrobić klient w celu wyegzekwowania zapłaty dodatku covidowego w przypadku w którym wezwanie do zapłaty okazało się nieskuteczne
1;covid;prawo medyczne;co powinien zrobić klient w celu wyegzekwowania zapłaty dodatku covidowego w przypadku w którym wezwanie do zapłaty okazało się nieskuteczne
-1;prawo administracyjne ustrojowe;prawo administracyjne;co powinien zrobić klient w przedmiotowej sprawie
1;prawo cywilne procesowe;prawo cywilne;co powinien zrobić klient w przedstawionej sytuacji aby przeprowadzić sprawę spadkową czy klient może sprzedać odziedziczone prawo przed upływem pięciu lat od nabycia
1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;co powinien zrobić klient w związku z postępowaniem przed wojewódzką komisją do spraw orzekania o zdarzeniach medycznych
1;prawo cywilne procesowe;prawo cywilne;co powinna zrobić klientka  przyjąć spadek z dobrodziejstwem inwentarza czy go odrzucić jak i kiedy należy tego dokonać czy pełnoletnie dzieci klientki również powinny odrzucić spadek
1;prawo cywilne procesowe;prawo cywilne;co pozwany może zrobić gdyby sąd umorzył postępowanie w którym zapadł wyrok zaoczny i jednocześnie uchylił ten wyrok a przed uchyleniem doszłoby do wyegzekwowania całości należności zasądzonej przez komornika na podstawie wyroku zaocznego zaopatrzonego w klauzulę natychmiastowej wykonalności jakie prawa ma wówczas pozwany czy w takim przypadku pozwany może dochodzić zwrotu od klienta kwot wyegzekwowanych oraz czy klient powinien w takiej sytuacji złożyć ponownie tożsamy pozew
-1;prawo administracyjne ustrojowe;prawo administracyjne;co w poniższej sytuacji może zrobić klientka
1;weryfikacja dokumentu;odpowiedzi niestandardowe;co w praktyce oznaczają przedmiotowe pisma co wynika z nich dla klienta
1;weryfikacja dokumentu;odpowiedzi niestandardowe;co w przedmiotowej sprawie może jeszcze zrobić klientka aby odwołać się od nałożonej kary
-1;prawo karne wykroczeniowe;prawo karne;co w przedmiotowej sprawie może zrobić klientka
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co w przedmiotowej sprawie może zrobić klientka
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co w przedmiotowej sprawie może zrobić klientka
-1;prawo administracyjne materialne;prawo administracyjne;co w przedmiotowej sprawie może zrobić klientka
-1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co w przedmiotowej sprawie może zrobić klientka
-1;prawo cywilne procesowe;prawo cywilne;co w przedmiotowej sprawie może zrobić klientka
-1;prawo administracyjne materialne;prawo administracyjne;co w przedmiotowej sprawie może zrobić klientka
-1;prawo administracyjne materialne;prawo administracyjne;co w przedmiotowej sprawie może zrobić klientka
1;weryfikacja dokumentu;odpowiedzi niestandardowe;co w przedmiotowej sprawie może zrobić klientka aby odwołać się od nałożonej kary umownej oraz potrąconej kwoty z wynagrodzenia tytułem zwrotu nienależnie przekazanych środków finansowych
-1;prawo karne procesowe;prawo karne;co w przedmiotowej sprawie powinien zrobić brat klientki aby nie spłacać zaciągniętych kredytów
-1;prawo karne procesowe;prawo karne;co w przedstawionej sytuacji może zrobić klient
1;rzeczowe;prawo cywilne;co w przedstawionej sytuacji powinna zrobić klientka czy otrzymane pismo może stanowić próbę wyłudzenia pieniędzy
1;rzeczowe;prawo cywilne;co w przedstawionej wspólnocie mieszkaniowej należy uznać za części wspólne nieruchomości
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co w sytuacji jeżeli występują inne niewymienione w przepisach schorzenia np choroby nowotworowe i zmiany na twarzy których nie powinno się drażnić maseczką  jak powinien zachować się lekarz  kierować się ściśle przepisami czy działać zgodnie z wiedzą medyczną dla dobra pacjenta
1;prawo cywilne procesowe;prawo cywilne;co w świetle przedstawionego stanu faktycznego powinna w pierwszej kolejności uczynić wspólnota mieszkaniowa
1;prawo unii europejskiej;prawo miädzynarodowe;co w świetle wyroku trybunału sprawiedliwości może uczynić klient
1;inne  praw pracy;prawo pracy;co w zaistniałej sytuacji może zrobić klient dlaczego zmianę decyzji dostarczono w pierwszej kolejności zakładowi pracy a nie klientowi
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;co w zaistniałych okolicznościach powinna zrobić klientka kto może zastępować klientkę na stanowisku kierownika apteki
-1;prawo administracyjne materialne;prawo administracyjne;co w związku z przedstawionym stanem faktycznym może uczynić klient
-1;prawo administracyjne materialne;prawo administracyjne;co w związku z przedstawionym stanem faktycznym może uczynić klientka
-1;prawo karne wykroczeniowe;prawo karne;co w związku z zaistniałą sytuacją powinna uczynić klientka
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;co zrobić może wspólnik klienta czy partnerem spółki może być pielęgniarka
1;prawo karne procesowe;prawo karne;czego można spodziewać się na tym posiedzeniu co należy przygotować czy należy wynająć prawnika i stawić się tam z nim czy jest to zbyteczne jeżeli sąd umorzy sprawę to czy ewentualne koszty prawnika pokryje oskarżający czy stawiennictwo jest konieczne
1;weryfikacja dokumentu;odpowiedzi niestandardowe;czy   umowy licencji został sporządzony zgodnie z prawem czy   umowy o powierzenia danych osobowych został sporządzony zgodnie z prawem
1;spadkowe;prawo cywilne;czy aby klientka otrzymała przedmiotową nieruchomość wystarczy zrzeczenie się żony i dzieci brata klientki na jej rzecz czy konieczne jest przeprowadzenie postępowania spadkowego
1;prawo administracyjne materialne;prawo administracyjne;czy aby uznać daną osobę za rolnika indywidualnego koniecznym jest zamieszkiwanie przez tę osobę w gminie w której znajduje się gospodarstwo rolne przez okres ostatnich  lat jeżeli odpowiedź na pierwsze pytanie jest twierdząca w jaki sposób można uzyskać zgodę dyrektora generalnego krajowego ośrodka wsparcia rolnictwa na sprzedaż gruntów rolnych
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;czy aby wykonywać zabiegi z zakresu medycyny estetycznej np wstrzykiwanie toksyny botulinowej w ramach współpracy z podmiotem prowadzonym przez kosmetologa  klientce wystarczy posiadanie prawa wykonywania zawodu lekarza na stażu podyplomowym
1;prawo karne procesowe;prawo karne;czy agresja słowna i fizyczna pacjenta na lekarza oraz pielęgniarki w przychodni kwalifikuje się jako atak na funkcjonariusza publicznego czy klientka może bez zgody pacjenta wykreślić go z listy pacjentów w przychodni w ramach nfz
1;ustawa kodeks pracy;prawo pracy;czy aktualne badania lekarskie uprawniające do wykonywania zawodu maszynisty mogą zastąpić badania wstępne
1;prawo administracyjne materialne;prawo administracyjne;czy aktualne przepisy regulują kierunek otwierania drzwi pomieszczenia w którym znajduje się kocioł gazowy o mocy  kw czy w  roku kiedy projekt budowlanybył zatwierdzany do pozwolenia na budowę przepisy regulowały kierunek otwierania drzwi w zależności od mocy kotła
1;inne â praw medyczne;prawo medyczne;czy ankieta covidowa powinna zostać załączona do elektronicznej dokumentacji medycznej czy ankieta covidowa zabezpiecza przed ewentualnymi roszczeniami pacjentów
-1;weryfikacja dokumentu;odpowiedzi niestandardowe;czy ankieta którą klientka otrzymała z platformy centrum ezdrowie jest autentyczna czy klientka ma obowiązek wypełnić i przesłać ankietę na wskazany adres
1;inne  praw farmaceutyczne;prawo farmaceutyczne;czy apteka ma obowiązek przechowywać odpady medyczne po szczepieniu w lodówce jak długo apteka powinna przechowywać takie odpady
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka ma obowiązek umieszczać kody gtu na wszystkich fakturach czy tylko na fakturach dla przedsiębiorców czy apteka musi zamieszczać na fakturach jedynie kod gtu  czy jeszcze jakieś inne kody gtu czy hurtownie farmaceutyczne powinny wskazywać kody gtu na fakturach
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może nabyć suplementy diety i wyroby medyczne od innej apteki
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może odmówić przyjęcia zwrotu ciśnieniomierza
-1;prawo karne wykroczeniowe;prawo karne;czy apteka może odmówić sprzedaży towarów osobom niezakrywającym nosa i ust
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może prowadzić internetową sprzedaż suplementów diety i kosmetyków jakich formalności powinna dopełnić klientka celem rozpoczęcia takiej działalności
-1;podatki poĺrednie;prawo podatkowe;czy apteka może spełnić żądanie pacjentki
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może sprzedać leki o kategorii otc firmom prowadzącym działalność handlowousługowym
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może sprzedać leki o kategorii otc podmiotom prowadzącym działalność handlowousługowym
1;inne  praw farmaceutyczne;prawo farmaceutyczne;czy apteka może sprzedać testy na covid do domu dziecka
1;inne  praw farmaceutyczne;prawo farmaceutyczne;czy apteka może sprzedawać domowe testy na sarscov
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może sprzedawać wodę mineralną czy apteka może kupować wodę mineralną w hurtowniach spożywczych
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może wystawić fakturę na środki ochrony osobistej sklepowi spożywczemu
1;podatki poĺrednie;prawo podatkowe;czy apteka może wystawić fakturę za zrealizowane recepty na pacjenta oraz leki dostępne bez recepty gdzie nabywcą jest sam pacjent ale płatnikiem dom opieki społecznej albo fundacja
1;podatki poĺrednie;prawo podatkowe;czy apteka może wystawić jedną łączną fakturę na leki refundowane dla współmałżonków
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka może zaopatrywać się w środki spożywcze specjalnego przeznaczenia żywieniowego od podmiotów niebędących hurtowniami farmaceutycznymi
1;ustawa kodeks pracy;prawo pracy;czy apteka może żądać od farmaceuty dostarczenia notarialnie poświadczonej kopii prawa wykonywania zawodu czy apteka może żądać od zatrudnianego farmaceuty kopii dowodu osobistego
1;ustawa kodeks pracy;prawo pracy;czy apteka może żądać od farmaceuty dostarczenia notarialnie poświadczonej kopii prawa wykonywania zawodu na koszt klientki czy pracodawca może zatrzymać kopie dokumentów przekazanych przez klientkę w aktach pracowniczych
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka ogólnodostępna może podjąć współpracę z dietetykiem w ramach której w ustalonych dniachgodzinach w danym miesiącu dietetyk byłby dostępny dla pacjentów apteki celem udzielenia porad dietetycznych
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka ogólnodostępna może sprzedawać maseczki higieniczne czy apteka ogólnodostępna może nabyć maseczki higieniczne poza hurtownią farmaceutyczną
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka ogólnodostępna może wysyłać leki na receptę do pacjenta jeżeli nie to jaki są możliwe konsekwencje takiego działania
1;inne  praw farmaceutyczne;prawo farmaceutyczne;czy apteka powinna złożyć sprawozdanie za  rok mimo że w tym okresie nie wytworzyła żadnych odpadów
1;prawo karne wykroczeniowe;prawo karne;czy apteka w czasie godzin dla seniora może obsługiwać również klientów którzy nie są seniorami oraz czy ustawodawca przewiduje kary za nieprzestrzeganie godzin dla seniora
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy apteka w czasie godzin dla seniorów może obsługiwać również klientów którzy nie są seniorami oraz czy i dla kogo ustawodawca przewiduje kary za nieprzestrzeganie godzin dla seniorów
1;prawo cywilne procesowe;prawo cywilne;czy bank może odmówić udzielenia informacji że kredyt został spłacony jeśli bank może odmówić to co dalej w tej sytuacji zrobić
1;prawo administracyjne materialne;prawo administracyjne;czy bank powinien dokonać zwrotu części prowizji po całkowitej przedterminowej spłacie kredytu
1;prawo administracyjne materialne;prawo administracyjne;czy bank powinien zwrócić klientce proporcjonalną część kosztów prowizji kredytu
1;prawo administracyjne materialne;prawo administracyjne;czy bank powinien zwrócić klientce proporcjonalną część kosztów prowizji kredytu hipotecznego
1;prawo administracyjne materialne;prawo administracyjne;czy bank powinien zwrócić klientce środki z wykonanych przelewów
1;covid;prawo medyczne;czy bezobjawowy pacjent z dodatnim wynikiem na covid podlega obowiązkowi hospitalizacji kto nakłada obowiązek izolacji w przypadku takiego pacjenta
1;ustawa prawo farmaceutyczne;prawo farmaceutyczne;czy będąc kierownikiem punktu aptecznego jest możliwym również pracowanie w aptece ogólnodostępnej czy zatrudnienie na stanowisku kierownika punktu aptecznego jest możliwe nie tylko w pełnym wymiarze czasu pracy
1;rzeczowe;prawo cywilne;czy biorąc pod uwagę przedstawiony stan faktyczny zabudowa istniejącego ogrodzenia innym ogrodzeniem wymaga zgody wspólnoty mieszkaniowej w przypadku odpowiedzi twierdzącej w jakiej formie powinna zostać wyrażona ww zgoda czy wyrażenie wspomnianej zgody wymaga podjęcia uchwały przez właścicieli lokali
1;prawo administracyjne materialne;prawo administracyjne;czy błędne dane wpływają na ważność umowy czy przy dokonaniu zakupu poprzez innego pośrednika klient będzie musiał zapłacić karę umowną
1;spadkowe;prawo cywilne;czy brat będzie mógł wysuwać jakiekolwiek roszczenia w stosunku do nieruchomości którą córka otrzymała od rodziców w drodze darowizny
1;rzeczowe;prawo cywilne;czy brat klienta ma prawo do korzystania z mieszkania
1;rzeczowe;prawo cywilne;czy brat klienta może sprzedać gospodarstwo rolne bez jego zgody
1;spadkowe;prawo cywilne;czy brat powinien potwierdzić notariuszowi fakt przelania na swoje konto pieniędzy z konta matki czy można wezwać brata klienta do przedstawienia przed notariuszem bilingu wypłaty z własnego konta pieniędzy albo dowodu posiadania takiej sumy w celu rzekomego zdaniem przekazania kwoty   zł matce na podstawie umowy pożyczki czy można zobowiązać brata klienta przed notariuszem do wskazania świadków z imienia i nazwiska obecnych przy przeliczaniu i wręczaniu pieniędzy matce czy można go zobowiązać do pokazania przed notariuszem pisemnych potwierdzeń świadków o przekazaniu pieniędzy matce czy może jednak należy tę sprawę rozwiązać po spotkaniu z notariuszem w sprawie działu spadku które odbędzie się jakie jeszcze działania klient może jeszcze podjąć aby wyjaśnić swoje wątpliwości
1;spadkowe;prawo cywilne;czy bratankowie klientki będą odpowiadać swoim majątkiem za zobowiązania swojego ojca
1;prawo administracyjne materialne;prawo administracyjne;czy budowa windy dla osób niepełnosprawnych może zostać zakwalifikowana jako remont i zostać sfinansowana z funduszu remontowego dużej wspólnoty mieszkaniowej
1;rzeczowe;prawo cywilne;czy były członek zarządu odwołany uchwałą wspólnoty mieszkaniowej może wrócić do pełnienia tej funkcji
-1;prawo karne materialne;prawo karne;czy były partner matki klientki może zamieszkiwać w tym pokoju
1;ustawa kodeks pracy;prawo pracy;czy były pracodawca ma prawo żądać od klienta zwrotu pewnej kwoty wynikającej z umowy lojalnościowej
1;ustawa o zawodach lekarza i lekarza dentysty;prawo medyczne;czy choroba klienta wpływa w jakiś sposób na jego postępowanie kwalifikacyjne czy klientowi przysługują dodatkowe uprawnienia w związku z chorobą
1;spadkowe;prawo cywilne;czy córka klienta może ubiegać się o zachowek po zmarłej babci w jakim terminie córka klienta może ubiegać się o zachowek
1;podatki poĺrednie;prawo podatkowe;czy córka klienta nadal może wystawiać paragony w formie papierowej czy musi to robić online czy klient będący lekarzem na emeryturze może wystawiać paragony w formie papierowej
1;prawo cywilne procesowe;prawo cywilne;czy córka kuzynki klientki miała obowiązek wskazać innych członków rodziny notariuszowi
1;ustawa o prawach pacjenta i rzeczniku praw pacjenta;prawo medyczne;czy córka nieprzytomnego pacjenta może żądać udostępnienia dokumentacji medycznej oraz wskazania przez klientkę informacji objętych tajemnicą lekarską
